ID,Hora de inicio,Hora de finalización,Correo electrónico,Nombre,Hora de la última modificación,Me siento cómodo/a probando herramientas nuevas aunque no tenga un tutorial perfecto.,"Prefiero una solución simple que funcione hoy, antes que una solución ideal pero compleja.",Me entusiasma automatizar tareas repetitivas (aunque sea por puro ‘vicio’).,Me cuesta confiar en resultados de una herramienta si no entiendo ‘qué hay debajo’.,"Si una herramienta me ahorra 30 minutos, la adopto aunque sea fea.",Me gusta enseñar con ejemplos visuales y demostraciones en directo.,Me pone nervioso/a improvisar con tecnología delante de un público. (Ítem inverso),"Cuando algo falla, mi primera reacción es: “ok, debug” en vez de “esto no sirve”.","Me interesa que mis estudiantes entiendan el ‘por qué’, aunque vaya más lento el temario.",Creo que la IA generativa puede ser útil si se usa con un objetivo pedagógico claro.,He tenido una conversación con un chatbot que me sorprendió (para bien).,"En una reunión, soy más de traer un prototipo que de traer un documento.",He dicho “es un problema de la red” cuando en realidad era yo.,He abierto 27 pestañas “para leer luego” y me he sentido productivo/a.,Comentarios (opcional)
1,1/27/26 12:14:26,1/27/26 12:16:20,anonymous,,,3,1,3,5,3,1,5,3,5,5,1,5,1,1,
2,1/27/26 12:14:41,1/27/26 12:16:23,anonymous,,,3,4,2,1,4,3,4,5,4,5,4,3,4,4,
3,1/27/26 12:14:34,1/27/26 12:16:37,anonymous,,,4,4,4,4,5,5,3,3,5,5,4,1,1,2,
4,1/27/26 12:15:07,1/27/26 12:17:04,anonymous,,,2,5,3,1,1,4,2,1,5,4,3,3,1,1,
5,1/27/26 12:14:52,1/27/26 12:17:08,anonymous,,,5,4,5,5,2,5,4,4,5,4,3,3,2,5,
6,1/27/26 12:16:02,1/27/26 12:17:10,anonymous,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
7,1/27/26 12:15:54,1/27/26 12:17:27,anonymous,,,3,2,4,4,3,5,4,3,5,3,4,3,2,5,
8,1/27/26 12:15:01,1/27/26 12:17:29,anonymous,,,3,2,2,4,2,3,3,2,3,3,5,2,3,2,
9,1/27/26 12:14:35,1/27/26 12:17:51,anonymous,,,4,4,5,5,2,4,5,3,5,3,2,2,5,4,
10,1/27/26 12:14:20,1/27/26 12:17:53,anonymous,,,5,1,5,3,2,5,1,4,5,4,3,3,2,1,
11,1/27/26 12:15:08,1/27/26 12:17:55,anonymous,,,3,1,2,3,2,5,2,1,5,3,3,2,3,1,
12,1/27/26 12:15:20,1/27/26 12:18:22,anonymous,,,3,4,4,4,2,5,5,2,5,4,3,4,4,4,
13,1/27/26 12:15:30,1/27/26 12:18:22,anonymous,,,4,5,5,3,5,5,3,3,5,4,4,3,1,1,
14,1/27/26 12:14:50,1/27/26 12:18:23,anonymous,,,3,4,1,4,3,5,5,3,5,3,3,2,4,3,
15,1/27/26 12:15:51,1/27/26 12:18:26,anonymous,,,3,5,3,5,5,5,5,3,4,5,4,3,3,2,Ninguno 
16,1/27/26 12:16:00,1/27/26 12:18:43,anonymous,,,4,5,5,5,3,5,4,5,5,5,5,3,3,1,
17,1/27/26 12:15:41,1/27/26 12:21:57,anonymous,,,4,2,4,3,2,1,4,3,1,2,2,5,4,2,
18,1/27/26 12:37:19,1/27/26 12:39:45,anonymous,,,5,3,5,5,3,5,1,5,5,5,5,5,1,1,
19,1/27/26 13:22:28,1/27/26 13:25:34,anonymous,,,4,4,4,4,3,5,4,2,4,4,2,4,3,5,
20,1/28/26 9:37:00,1/28/26 9:39:11,anonymous,,,3,4,4,5,1,4,1,4,5,5,4,4,1,1,
21,1/29/26 17:34:28,1/29/26 17:35:52,anonymous,,,5,3,3,2,4,4,3,4,4,5,5,3,4,5,
